year,week,Bermuda,Canada,Mexico,USA,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Nicaragua,Panama,Cuba,Dominican Republic,French Guiana,Guadaloupe,Haiti,Martinique,Puerto Rico,Saint Barthelemy,Saint Martin,Bolivia,Colombia,Ecuador,Peru,Venezuela,Argentina,Brazil,Chile,Paraguay,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,Cayman Islands,Curacao,Dominica,Grenada,Guyana,Jamaica,Montserrat,Saint Kitts and Nevis,Saint Lucia,Saint Vincent,Sint Maarten,Suriname,Trinidad and Tobago,Turks and Caicos Islands,Virgin Islands UK,Virgin Islands US
2014,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,22,,,,27,,,,,,,2,2,,,,,,,,,,,,,,,,2,,,,1,,1,,,,,,,,,,,,,,,,
2014,23,,,,39,,,,,,,2,5,,,,,,,,,,,,,2,,7,2,,,,1,,1,,,,,,,,,,,,,,,,
2014,24,,,,57,,,,,,,2,6,,,,,,,,,,,,,6,,11,2,,,,1,,1,,,,,,,,,,,,1,,,,
2014,25,,,1,73,,,,,,,2,6,,,,,,,,,,,,2,12,,11,2,,,,1,,1,,,,,,,,,,,,,,,,
2014,26,,,1,114,,,,,,,2,11,,,,,,,,,,,,2,117,,11,2,,,,,,1,1,,,,,,,,,,,,,,,
2014,27,,,1,138,,,,,,2,2,11,,,,,,,,,,,,3,28,,11,2,1,,,,1,4,1,,,,,,,,,,,,,,,
2014,28,,,1,138,,,,,,2,2,11,,,,,,,,,3,,,3,,,11,2,1,,,,4,4,1,,,,,1,,,,,,,3,,,
2014,29,,,1,282,,,,,,2,12,11,,,,,,17,,,3,1,,3,48,,11,2,1,,,1,6,6,3,,,,,1,,,,,,4,3,7,,2
2014,30,,,1,380,,,,,,2,12,11,,,,,,17,,,3,1,,3,56,,11,2,1,2,,1,4,6,3,,,,,2,,,,,,5,3,7,,2
2014,31,,8,1,480,,,,,,2,12,11,,,,,,17,,,3,1,,3,59,,11,2,1,2,,1,4,6,3,,,,,2,,,,,,5,3,7,,2
2014,32,,8,1,580,,,,,,2,12,11,,,,,,18,,,3,1,,3,70,,11,2,1,2,,1,4,6,3,,,,,2,,,,,,5,3,7,,2
2014,33,,8,1,580,,,,,,2,12,11,,,,,,18,,,3,1,,3,70,,11,2,1,2,,1,4,6,3,,,,,2,,,,,,5,3,7,,2
2014,34,,8,1,636,,,,,,2,12,13,,,,,,19,,,3,1,,3,70,1,11,2,1,2,,12,4,6,3,7,,,,2,,,,,,5,3,7,,2
2014,35,,8,1,690,,,,,,9,12,13,,,,,,19,,,3,1,,3,70,4,12,2,1,2,,12,4,6,3,7,,,,2,,,,,,5,3,7,,2
2014,36,,8,3,751,,,,,,12,12,13,,,,,,19,,,3,1,,3,70,7,12,2,1,2,,12,4,8,3,7,,,,2,,,,,,5,3,7,,2
2014,37,,8,3,926,,,,,,12,17,13,,,,,,19,,,3,1,,3,70,7,12,2,1,2,,12,4,8,3,7,,,,2,,,,,,5,3,7,,2
2014,38,,8,6,1043,,1,,,,16,17,13,,,,,,19,,,3,7,,3,70,7,36,2,1,2,,12,4,8,3,7,,,,3,,,,,,5,3,7,,2
2014,39,,8,6,1114,,16,,,,22,17,13,,,,,,25,,,3,7,,3,70,7,36,2,1,2,,12,4,8,3,7,,,,3,,,,,,14,3,7,,2
2014,40,,8,6,1200,,16,,,,24,17,13,,,,,,25,,,3,11,1,3,70,14,37,2,1,2,,12,4,8,3,7,,,,2,,,,,,14,3,7,,2
2014,41,,8,6,1326,,16,,,,24,17,13,,,,,,25,,,3,11,1,3,70,14,37,2,1,2,,12,4,8,3,7,,,,2,,,,,,14,3,7,,2
2014,42,,8,6,1371,,16,,,,24,17,20,,,,,,26,,,3,21,1,7,70,14,37,2,1,2,,12,4,8,3,7,,,,2,,,,,,14,3,7,,2
2014,43,,8,6,1471,,16,,,,24,17,20,,,,,,30,,,3,23,1,7,70,17,37,2,1,2,,12,4,8,3,7,,,,2,,,,,,14,3,7,,2
2014,44,,8,6,1545,,16,,,,14,17,20,,,,,,30,,,3,26,1,7,70,17,37,2,2,2,,12,4,8,3,7,,,,2,,,,,,14,3,7,,2
2014,45,,8,10,1616,,16,,,5,14,17,20,,,,,,31,,,3,26,1,7,70,17,37,2,2,2,,12,4,8,3,7,,,,2,,,,,,14,3,7,,2
2014,46,,8,11,1616,,16,,,5,40,28,20,,,,,,31,,,3,26,1,7,70,22,37,2,4,2,,12,4,8,3,7,,,,2,,,,,,14,3,7,,2
2014,47,,8,11,1839,,16,,,5,40,28,20,,,,,,31,,,3,26,1,7,70,22,37,2,6,2,,12,4,8,3,7,,,,2,,,,,,14,3,7,,2
2014,49,,8,13,1900,,17,,,5,40,28,20,,,,,,31,,,4,26,1,7,70,22,37,11,6,2,,12,4,8,3,7,,,,2,,,,,,14,3,7,,6
2014,50,,8,13,1900,,33,,,5,40,28,20,,,,,,31,,,4,26,1,7,70,24,71,14,7,2,,12,4,8,3,7,,,,2,,,,,,14,3,7,,6
2014,51,,8,13,2010,,40,,,5,40,28,20,,,,,,31,,,4,26,7,7,70,28,71,17,7,2,,12,5,8,3,7,,,,2,,,,,,14,3,7,,6
